logM, logSFR
10.11567, 0.2567178
10.1024, 0.4336524
10.07062, 0.6765661
10.63554, -0.8222535
10.0755, 0.665208
10.07575, 0.6110445
10.10253, 0.4685667
10.43671, -0.8054126
10.46186, 0.3760571
10.2677, 1.06579
10.2956, 0.7874759
10.10699, 0.2576923
10.57633, 1.032097
10.99704, -0.1522838
10.65868, 0.1854776
10.25577, 1.049735
10.37483, 0.9926804
10.24581, 0.6032212
10.01908, 0.7923079
10.52013, 0.1621947
10.34686, 0.9586195
10.55192, 0.9283194
10.16736, 0.4379192
11.39382, 0.0360012
10.2375, 0.3835744
10.82231, 1.508138
10.10401, -0.877679
11.30559, 0.5492495
10.1613, 0.6751044
10.012, -0.1662896
10.1044, 0.681173
10.03193, 0.4144303
10.51578, 0.8862981
10.20475, 0.7756353
11.09265, -0.06134051
10.23789, 0.7653503
10.91823, 0.8353081
10.12865, 0.4110861
10.4888, -0.6968102
11.20034, 0.796163
10.11208, 0.6989303
10.51691, -0.2748011
10.03002, 1.081045
10.36995, 0.4903967
10.23758, 0.1119426
10.55278, 1.121891
10.38449, -0.319246
10.09283, 0.476874
10.33172, 0.9084492
10.62096, 0.6886203
10.27163, 0.7894861
10.41396, 0.8419902
10.05041, 0.5016529
10.2714, 0.3356833
10.43648, 0.4376031
10.13601, 1.065063
10.48928, -0.636743
10.12689, 0.5585743
10.16525, -0.04569748
10.28404, 0.7843249
10.484, 1.309327
10.06209, 0.5589836
10.57741, 0.9787844
10.33201, 0.7799032
10.15769, 0.1092544
10.72848, 1.380629
10.03432, 0.5525318
10.4548, 1.058889
10.4692, 1.046268
10.21568, 0.565959
10.2061, 0.4804763
10.27479, 0.9139894
10.44172, 0.3649337
11.67188, 0.7105769
11.2846, 1.10313
10.06138, 0.3820953
10.75247, 1.23356
10.07696, 0.6884761
10.57358, -0.09276963
10.47124, -1.035024
10.28096, -1.345508
10.16541, 0.3588863
10.06437, 0.7876706
10.8529, 1.381544
10.26719, 0.6385455
10.43728, 0.5409299
10.39926, 0.807048
10.52796, -0.9236917
10.35496, 0.8964739
10.18941, -0.07845531
10.62297, 1.240488
10.08046, 0.7311082
